frames,r11,r21,r31,r12,r22,r32,r13,r23,r33,pitch,yaw,roll,q1,q2,q3,q4,u1,u2,u3,angle,Sx,Sy,Sz,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z
10704,0.9938,-0.017952,0.10975,0.043219,0.97166,-0.23241,-0.10247,0.23572,0.9664,13.522,6.301,1.0349,0.11804,0.053513,0.015425,0.99145,0.9044,0.41,0.11818,14.999,-1.0282,130.21,-585.23,0.010033,0.18564,-0.59658,-0.046094,0.19555,-0.65672,-0.0066792,0.19237,-0.66815,0.069999,0.17803,-0.63617
10708,0.995,-0.020233,0.097794,0.044448,0.96664,-0.25224,-0.089428,0.25532,0.96271,14.682,5.6121,1.1649,0.12811,0.047254,0.016325,0.9905,0.93157,0.34362,0.11871,15.808,-0.074842,131.15,-588.07,0.011099,0.18629,-0.60067,-0.045691,0.19526,-0.66022,-0.0064257,0.19165,-0.67209,0.070557,0.17764,-0.64091
10715,0.99636,-0.02587,0.081266,0.045039,0.96878,-0.2438,-0.072421,0.24658,0.96641,14.159,4.6613,1.4873,0.12366,0.038755,0.017881,0.99141,0.94528,0.29625,0.13669,15.034,2.6012,130.86,-589.69,0.013763,0.18609,-0.60191,-0.043918,0.19585,-0.66043,-0.0049438,0.19225,-0.67297,0.072502,0.17748,-0.64315
10719,0.99654,-0.038392,0.073718,0.054357,0.972,-0.2286,-0.062878,0.23181,0.97073,13.251,4.2276,2.2062,0.11599,0.034411,0.023365,0.99238,0.9413,0.27927,0.18962,14.156,3.7155,130.2,-587.01,0.015524,0.18545,-0.59849,-0.042503,0.19686,-0.65644,-0.0035547,0.19292,-0.6694,0.073975,0.17692,-0.64056
10725,0.99659,-0.051325,0.06456,0.062341,0.98128,-0.18223,-0.053999,0.18563,0.98113,10.522,3.7016,2.9482,0.092439,0.029793,0.028563,0.99486,0.91312,0.2943,0.28215,11.621,5.8935,127.79,-582.67,0.018103,0.18344,-0.59154,-0.040224,0.19814,-0.64851,-0.0014293,0.1945,-0.66185,0.076145,0.17633,-0.63435
10739,0.9978,-0.05462,0.037583,0.061577,0.97357,-0.21993,-0.024577,0.22176,0.97479,12.714,2.1539,3.1333,0.11118,0.015646,0.029247,0.99325,0.95826,0.13486,0.25209,13.325,7.5698,129.55,-584.52,0.019865,0.18473,-0.59584,-0.04003,0.19771,-0.65159,-0.0016234,0.19328,-0.66594,0.076624,0.1758,-0.63998
10742,0.99841,-0.050496,0.025201,0.054985,0.97096,-0.23283,-0.012713,0.23384,0.97219,13.468,1.4441,2.8954,0.11753,0.0095485,0.026565,0.99267,0.97235,0.078996,0.21978,13.885,8.5135,130.12,-586.68,0.020034,0.18535,-0.59856,-0.040612,0.1972,-0.65369,-0.0024147,0.19312,-0.66836,0.0762,0.17574,-0.64342
10745,0.9988,-0.047708,0.010834,0.048904,0.96757,-0.24782,0.0013405,0.24805,0.96875,14.349,0.62073,2.7347,0.12498,0.0023927,0.024351,0.99186,0.98137,0.018788,0.19121,14.634,8.9368,130.77,-587.9,0.020332,0.18577,-0.6009,-0.041176,0.19677,-0.65524,-0.0031695,0.19238,-0.67058,0.075783,0.17582,-0.6464
10749,0.99877,-0.048968,-0.0081234,0.045267,0.96569,-0.25572,0.020367,0.25504,0.96672,14.817,-0.46544,2.8069,0.1288,-0.0071847,0.023764,0.99136,0.98193,-0.054772,0.18117,15.075,9.7147,131.05,-589.8,0.020936,0.18594,-0.60343,-0.041575,0.19663,-0.65661,-0.0038622,0.19205,-0.67264,0.075554,0.17558,-0.64972
10754,0.99842,-0.049724,-0.026352,0.041037,0.96374,-0.26369,0.038508,0.26219,0.96425,15.294,-1.5101,2.8511,0.13269,-0.016366,0.022902,0.99076,0.97823,-0.12065,0.16883,15.592,11.323,131.38,-591.01,0.022129,0.18623,-0.6051,-0.0414,0.19648,-0.65725,-0.0039968,0.19195,-0.67389,0.075766,0.17535,-0.65247
10758,0.99754,-0.057998,-0.039423,0.046242,0.96663,-0.25198,0.052721,0.24954,0.96693,14.607,-2.2593,3.3275,0.12647,-0.023237,0.026287,0.99135,0.96361,-0.17704,0.20028,15.084,12.138,130.75,-590.77,0.023376,0.18563,-0.60441,-0.04067,0.19715,-0.65556,-0.003462,0.19238,-0.6728,0.076502,0.17497,-0.65253
10762,0.99657,-0.065401,-0.050745,0.051768,0.97075,-0.23446,0.064594,0.23103,0.9708,13.578,-2.9087,3.7547,0.11728,-0.02906,0.029521,0.99223,0.94291,-0.23363,0.23734,14.29,13.561,130.02,-588.74,0.02511,0.18506,-0.60146,-0.039383,0.19805,-0.65176,-0.0023758,0.1933,-0.66942,0.077643,0.17485,-0.65042
10772,0.99435,-0.074722,-0.075387,0.058754,0.97897,-0.19537,0.0884,0.18984,0.97783,11.299,-4.3235,4.2975,0.096897,-0.041199,0.033574,0.99387,0.87677,-0.37279,0.3038,12.69,16.619,127.52,-584.08,0.028533,0.18292,-0.59474,-0.036896,0.19871,-0.64307,-0.00033012,0.19431,-0.66165,0.079824,0.17412,-0.64528
10785,0.99192,-0.07202,-0.10441,0.044361,0.96816,-0.24637,0.11883,0.23975,0.96353,14.343,-5.9931,4.1528,0.12271,-0.05635,0.029377,0.99041,0.88799,-0.40778,0.21259,15.886,17.476,129.94,-589.34,0.028351,0.1849,-0.60296,-0.038742,0.19767,-0.64985,-0.0028035,0.19281,-0.66932,0.077968,0.17367,-0.65463
10788,0.99046,-0.075669,-0.11517,0.043001,0.96373,-0.26339,0.13092,0.25593,0.95779,15.376,-6.6131,4.3688,0.13128,-0.062209,0.029999,0.98894,0.88501,-0.41936,0.20223,17.062,16.999,130.95,-590.8,0.028113,0.18551,-0.60579,-0.039487,0.19778,-0.65197,-0.0037369,0.19217,-0.67197,0.077254,0.17358,-0.65773
10792,0.98889,-0.073775,-0.12906,0.035933,0.96105,-0.27404,0.14425,0.26636,0.95302,16.043,-7.4152,4.2666,0.13677,-0.069172,0.027766,0.98779,0.87807,-0.44409,0.17826,17.922,17.876,131.49,-593.26,0.028169,0.18612,-0.60857,-0.040125,0.19745,-0.6539,-0.0046951,0.1922,-0.6742,0.076619,0.17338,-0.66128
10797,0.98633,-0.073854,-0.1473,0.030202,0.95982,-0.27899,0.16199,0.27073,0.94893,16.384,-8.4707,4.2822,0.13927,-0.078358,0.026362,0.9868,0.8599,-0.48381,0.16277,18.641,18.731,131.75,-594.29,0.028826,0.18625,-0.61016,-0.040342,0.19742,-0.65425,-0.0052929,0.19196,-0.67532,0.076225,0.17344,-0.66374
10802,0.98304,-0.07821,-0.16589,0.031688,0.96334,-0.2664,0.18064,0.25662,0.94948,15.673,-9.5488,4.5488,0.13249,-0.087783,0.027839,0.9869,0.82113,-0.54404,0.17254,18.571,20.314,131.26,-593.86,0.030397,0.18595,-0.60907,-0.03948,0.19812,-0.65177,-0.0048,0.19282,-0.67343,0.076841,0.17345,-0.66368
10806,0.98054,-0.080987,-0.17885,0.033495,0.96661,-0.25406,0.19345,0.24313,0.95051,14.965,-10.303,4.7216,0.12592,-0.09429,0.028994,0.98712,0.7872,-0.58947,0.18126,18.409,21.844,130.52,-591.78,0.032192,0.18529,-0.60657,-0.038174,0.19848,-0.64827,-0.0037884,0.1931,-0.67053,0.077753,0.17347,-0.66198
10809,0.97901,-0.08099,-0.18702,0.035385,0.97126,-0.23537,0.20071,0.22381,0.95374,13.863,-10.779,4.7291,0.1162,-0.098118,0.029449,0.98793,0.75011,-0.63339,0.19011,17.823,23.235,129.4,-591.13,0.033496,0.18449,-0.6047,-0.037063,0.19862,-0.64567,-0.0028759,0.19378,-0.66811,0.078666,0.17339,-0.6605
10822,0.97307,-0.086876,-0.2135,0.035491,0.97168,-0.23363,0.22775,0.21976,0.9486,13.836,-12.328,5.1018,0.11489,-0.11182,0.031008,0.98658,0.70358,-0.68477,0.1899,18.796,26.142,128.89,-590.63,0.036224,0.18403,-0.60412,-0.03532,0.19863,-0.64319,-0.0018561,0.19385,-0.66651,0.079718,0.17262,-0.66133
10826,0.972,-0.088457,-0.21771,0.030998,0.96662,-0.25434,0.23294,0.24047,0.94229,15.105,-12.575,5.1999,0.12559,-0.11438,0.030319,0.985,0.72783,-0.66286,0.17571,19.872,25.819,129.92,-592.52,0.035698,0.18477,-0.6073,-0.036134,0.19836,-0.64617,-0.0027324,0.19311,-0.66968,0.078981,0.17232,-0.66457
10829,0.97122,-0.090093,-0.22048,0.027563,0.962,-0.27167,0.23658,0.25778,0.93679,16.172,-12.737,5.2998,0.13457,-0.11617,0.029904,0.98362,0.74647,-0.64441,0.16588,20.771,25.483,130.95,-593.99,0.03524,0.18551,-0.60988,-0.036837,0.1983,-0.64865,-0.0034584,0.1926,-0.67229,0.07825,0.17224,-0.66714
10833,0.97023,-0.090505,-0.22464,0.022446,0.95716,-0.28869,0.24114,0.27505,0.9307,17.233,-12.982,5.3293,0.1435,-0.11857,0.028753,0.9821,0.76187,-0.62948,0.15265,21.714,25.404,131.89,-596.22,0.034697,0.18628,-0.61292,-0.037621,0.19802,-0.65148,-0.0044242,0.19224,-0.67521,0.077472,0.17196,-0.67021
10840,0.96974,-0.089105,-0.22729,0.015479,0.95158,-0.30702,0.24364,0.29421,0.92417,18.377,-13.137,5.2499,0.1533,-0.12007,0.026666,0.9805,0.77997,-0.61093,0.13568,22.669,24.969,132.48,-599.41,0.03383,0.18662,-0.61715,-0.038729,0.19717,-0.6556,-0.0055597,0.19117,-0.67928,0.076497,0.1714,-0.67439
10863,0.97205,-0.098939,-0.21289,0.054933,0.97754,-0.20348,0.22824,0.1861,0.95565,12.02,-12.292,5.8117,0.098569,-0.11161,0.038932,0.98808,0.64043,-0.72517,0.25295,17.707,29.512,126.38,-586.86,0.040601,0.18175,-0.5985,-0.03046,0.19884,-0.63732,0.0029413,0.19427,-0.66072,0.084005,0.17119,-0.65597
10880,0.97467,-0.095272,-0.20234,0.039607,0.96396,-0.26309,0.22011,0.24842,0.94331,15.584,-11.674,5.5828,0.12981,-0.10721,0.034229,0.98513,0.75558,-0.62403,0.19924,19.785,26.611,129.77,-591.0,0.036903,0.18446,-0.60607,-0.034315,0.19799,-0.64615,-0.00055719,0.19243,-0.66911,0.080914,0.17118,-0.66271
10884,0.97559,-0.093707,-0.19858,0.035273,0.9595,-0.27948,0.21673,0.26565,0.93939,16.568,-11.454,5.4865,0.13847,-0.1055,0.032763,0.98419,0.78172,-0.59556,0.18496,20.406,25.53,130.68,-594.08,0.035726,0.18509,-0.61023,-0.035437,0.19764,-0.65066,-0.0016157,0.1917,-0.67351,0.080004,0.17121,-0.66632
10888,0.97683,-0.089207,-0.19455,0.028026,0.95448,-0.29694,0.21218,0.28461,0.93487,17.621,-11.218,5.2179,0.14788,-0.10343,0.029811,0.98313,0.80851,-0.56546,0.16298,21.078,25.331,131.6,-596.98,0.034775,0.18596,-0.61372,-0.036397,0.19697,-0.65459,-0.0024994,0.19129,-0.67711,0.079264,0.17107,-0.6696
10899,0.98052,-0.088872,-0.17517,0.033626,0.95457,-0.29608,0.19352,0.28442,0.93896,17.502,-10.088,5.179,0.14747,-0.093658,0.031118,0.98413,0.83106,-0.52782,0.17537,20.442,24.42,131.89,-597.85,0.034307,0.18619,-0.61453,-0.036068,0.19728,-0.65678,-0.001682,0.19145,-0.67873,0.079858,0.17147,-0.66958
10902,0.98146,-0.096202,-0.16577,0.047719,0.96032,-0.27479,0.18562,0.26179,0.94711,16.179,-9.5417,5.5982,0.13605,-0.089093,0.036491,0.98601,0.81628,-0.53456,0.21894,19.188,24.226,130.9,-595.99,0.035026,0.18538,-0.61149,-0.034697,0.19824,-0.65426,-9.4041e-05,0.19237,-0.67593,0.081243,0.17142,-0.66613
10904,0.98328,-0.0942,-0.15587,0.050911,0.9639,-0.26137,0.17487,0.24906,0.95257,15.343,-8.9675,5.4724,0.12924,-0.083741,0.036741,0.98739,0.81631,-0.52895,0.23207,18.218,24.5,130.03,-594.21,0.035572,0.18466,-0.60894,-0.033644,0.19816,-0.65233,0.0011449,0.19248,-0.67371,0.082256,0.17154,-0.66329
10906,0.98407,-0.097116,-0.14894,0.059273,0.96892,-0.24016,0.16763,0.22751,0.95924,14.056,-8.5654,5.6362,0.11822,-0.080026,0.039533,0.98897,0.79808,-0.54023,0.26688,17.037,24.705,129.02,-592.87,0.036136,0.18394,-0.60621,-0.032587,0.19873,-0.64996,0.0023255,0.19343,-0.67103,0.08318,0.17158,-0.66035
10913,0.98694,-0.096798,-0.12879,0.069729,0.97727,-0.20018,0.14524,0.18859,0.97126,11.646,-7.3994,5.6016,0.097985,-0.069065,0.041972,0.9919,0.77145,-0.54376,0.33045,14.594,24.779,126.71,-587.46,0.036898,0.182,-0.59843,-0.030689,0.19896,-0.64325,0.0046779,0.19419,-0.66365,0.085041,0.17165,-0.65189
10923,0.9879,-0.096611,-0.1213,0.068677,0.9739,-0.21635,0.13903,0.2054,0.96875,12.589,-6.9671,5.5854,0.10636,-0.065656,0.041685,0.99128,0.80723,-0.49829,0.31637,15.143,23.188,127.5,-586.91,0.035296,0.1826,-0.59881,-0.032104,0.19868,-0.6443,0.0034462,0.19358,-0.66449,0.083919,0.17149,-0.6519
10927,0.98806,-0.096176,-0.12038,0.065607,0.96951,-0.23609,0.13941,0.22538,0.96425,13.758,-6.9138,5.5596,0.11651,-0.065591,0.040847,0.99018,0.83338,-0.46916,0.29217,16.073,22.308,128.6,-589.78,0.034182,0.18351,-0.60274,-0.033279,0.19843,-0.64846,0.002276,0.19308,-0.66851,0.082825,0.17139,-0.65545
10931,0.98828,-0.0947,-0.11972,0.060213,0.96255,-0.26434,0.14027,0.25403,0.95697,15.441,-6.8759,5.4735,0.13111,-0.065759,0.039182,0.98841,0.86359,-0.43313,0.25808,17.465,21.306,130.2,-592.11,0.033059,0.18468,-0.60688,-0.034552,0.19803,-0.65278,0.0010225,0.19207,-0.67295,0.081759,0.17144,-0.65947
10934,0.98873,-0.091073,-0.11878,0.054423,0.95801,-0.28151,0.13944,0.27187,0.95218,16.47,-6.822,5.2627,0.14013,-0.065387,0.036842,0.98728,0.88152,-0.41134,0.23177,18.293,21.263,131.05,-594.42,0.032324,0.18551,-0.60981,-0.035396,0.19743,-0.65595,0.00011903,0.19173,-0.67593,0.080983,0.17127,-0.6623
10940,0.98925,-0.086806,-0.11765,0.048062,0.95302,-0.29906,0.13808,0.29019,0.94695,17.527,-6.7563,5.0148,0.1494,-0.064836,0.034194,0.98606,0.89776,-0.38962,0.20548,19.158,20.081,131.91,-598.08,0.031109,0.18599,-0.61479,-0.036676,0.19681,-0.66102,-0.0010599,0.1906,-0.68102,0.079869,0.17144,-0.66679
10970,0.98921,-0.093133,-0.1131,0.070451,0.97922,-0.19015,0.12846,0.18013,0.97522,11.033,-6.4942,5.3785,0.093231,-0.060821,0.041187,0.99293,0.78549,-0.51243,0.34701,13.633,22.894,126.45,-584.6,0.035073,0.18185,-0.5949,-0.031813,0.19907,-0.64068,0.0039378,0.19454,-0.66055,0.084199,0.17213,-0.64759
10974,0.98977,-0.093219,-0.10803,0.073508,0.98202,-0.1739,0.1223,0.16418,0.97882,10.074,-6.2018,5.3804,0.085046,-0.057941,0.041941,0.99381,0.76531,-0.5214,0.37742,12.761,22.737,125.43,-581.57,0.035043,0.18099,-0.59085,-0.031508,0.19905,-0.6368,0.004331,0.19482,-0.65654,0.084423,0.172,-0.64344
10977,0.9901,-0.093041,-0.10507,0.075884,0.9847,-0.15689,0.11806,0.14736,0.98201,9.077,-6.0311,5.3684,0.076477,-0.056085,0.042461,0.99459,0.73599,-0.53975,0.40864,11.929,22.365,124.3,-579.1,0.034828,0.17998,-0.5874,-0.031471,0.19894,-0.63335,0.0044327,0.19496,-0.65296,0.084447,0.17182,-0.63992
10981,0.99045,-0.093954,-0.10091,0.079628,0.98727,-0.13766,0.11256,0.12831,0.98533,7.9533,-5.7916,5.4189,0.066801,-0.053616,0.043597,0.99537,0.69502,-0.55784,0.4536,11.031,22.198,122.97,-575.57,0.034959,0.17873,-0.58282,-0.030983,0.19879,-0.62878,0.0049768,0.19501,-0.64831,0.084779,0.17153,-0.6352
10984,0.99071,-0.094617,-0.097696,0.082882,0.98956,-0.11789,0.10783,0.1087,0.98821,6.8032,-5.6065,5.4554,0.056873,-0.051585,0.044551,0.99605,0.64067,-0.5811,0.50186,10.186,22.762,121.8,-573.12,0.035446,0.17774,-0.57897,-0.03019,0.19873,-0.62488,0.0058337,0.1955,-0.64423,0.085445,0.17121,-0.63125
10986,0.99081,-0.096751,-0.094495,0.087788,0.99162,-0.094797,0.10287,0.085631,0.991,5.4642,-5.4222,5.5771,0.045258,-0.049507,0.046289,0.99667,0.55532,-0.60747,0.56798,9.3493,23.037,120.08,-568.57,0.036256,0.176,-0.57332,-0.029037,0.19847,-0.61904,0.007076,0.19527,-0.63842,0.086553,0.1707,-0.62562
10988,0.99017,-0.10151,-0.096233,0.095689,0.9934,-0.0633,0.10202,0.053469,0.99334,3.6462,-5.5223,5.8534,0.029277,-0.049708,0.049443,0.99711,0.38534,-0.65424,0.65075,8.7147,23.513,117.77,-565.44,0.037038,0.17374,-0.56828,-0.028043,0.1981,-0.61341,0.0080924,0.19535,-0.63274,0.087285,0.1696,-0.62064
10989,0.9905,-0.099295,-0.095183,0.095591,0.9945,-0.042732,0.098903,0.033227,0.99454,2.4603,-5.4618,5.7247,0.019038,-0.048646,0.048847,0.99744,0.2662,-0.68019,0.68299,8.2024,24.019,116.35,-563.77,0.037435,0.17241,-0.56532,-0.027546,0.19762,-0.6102,0.0086488,0.19538,-0.62943,0.087761,0.16926,-0.61759
10991,0.99026,-0.10083,-0.096063,0.10029,0.9949,-0.010491,0.096631,0.0007553,0.99532,0.60391,-5.5125,5.814,0.0028185,-0.048291,0.050403,0.99756,0.040346,-0.69126,0.72148,8.0119,24.213,113.81,-558.84,0.038287,0.16972,-0.55894,-0.026397,0.19686,-0.60302,0.0097803,0.1947,-0.6224,0.088769,0.16841,-0.61122
10992,0.98978,-0.10297,-0.098668,0.10651,0.99382,0.031327,0.094832,-0.041516,0.99463,-1.804,-5.6625,5.9391,-0.01826,-0.048507,0.052512,0.99727,-0.24749,-0.65743,0.71171,8.4626,25.017,110.57,-554.73,0.039234,0.1664,-0.55226,-0.025312,0.1957,-0.5954,0.010903,0.19434,-0.61474,0.089649,0.16681,-0.60453
10994,0.98867,-0.11025,-0.10182,0.11652,0.9915,0.057808,0.094586,-0.069018,0.99312,-3.3313,-5.8443,6.3629,-0.031813,-0.049267,0.056883,0.99666,-0.38938,-0.60303,0.69623,9.3726,25.206,107.49,-549.26,0.040054,0.16306,-0.54538,-0.024203,0.19418,-0.58763,0.012102,0.19288,-0.60707,0.090562,0.16445,-0.59775
10995,0.98847,-0.11218,-0.10175,0.12044,0.98957,0.079044,0.091818,-0.090386,0.99167,-4.5573,-5.8397,6.4745,-0.042519,-0.048575,0.058375,0.99621,-0.48853,-0.55812,0.67071,9.9861,25.177,105.67,-546.93,0.04048,0.16104,-0.54207,-0.023573,0.19347,-0.58383,0.012696,0.19222,-0.60328,0.091105,0.16362,-0.59444
10996,0.98775,-0.11621,-0.10414,0.12723,0.98615,0.10636,0.090343,-0.1183,0.98886,-6.1388,-5.9779,6.7099,-0.056428,-0.04885,0.061146,0.99533,-0.58484,-0.5063,0.63374,11.073,26.055,102.86,-542.48,0.041357,0.15804,-0.53571,-0.022426,0.19183,-0.57663,0.013912,0.19123,-0.596,0.092102,0.16132,-0.58802
10998,0.9871,-0.11918,-0.10694,0.13307,0.98204,0.13379,0.089072,-0.14629,0.98522,-7.733,-6.1389,6.8847,-0.070422,-0.049285,0.063425,0.99428,-0.65924,-0.46137,0.59375,12.264,26.404,99.645,-537.67,0.042502,0.15445,-0.52982,-0.021041,0.19,-0.56973,0.015282,0.18924,-0.58919,0.093172,0.15933,-0.58181
11000,0.98529,-0.12823,-0.11299,0.14585,0.97549,0.16478,0.089094,-0.17883,0.97984,-9.5459,-6.4878,7.415,-0.086546,-0.050901,0.069034,0.99255,-0.71028,-0.41774,0.56656,13.997,27.456,96.317,-533.99,0.043726,0.15071,-0.5239,-0.019524,0.18807,-0.56265,0.016866,0.18797,-0.58201,0.094514,0.15606,-0.57601
11001,0.98368,-0.13487,-0.11909,0.15566,0.96987,0.1874,0.090232,-0.20288,0.97504,-10.879,-6.8398,7.8069,-0.098452,-0.052805,0.07329,0.99103,-0.73684,-0.39521,0.54852,15.357,27.816,93.104,-529.58,0.044897,0.14705,-0.51852,-0.018117,0.18608,-0.55614,0.018208,0.18581,-0.57566,0.095585,0.15338,-0.57053
11003,0.98322,-0.13601,-0.12155,0.15976,0.96369,0.21396,0.088032,-0.22979,0.96925,-12.448,-6.9813,7.8759,-0.11212,-0.052952,0.07473,0.98947,-0.77444,-0.36577,0.51619,16.648,28.698,90.363,-526.91,0.045864,0.14392,-0.51421,-0.016962,0.1842,-0.5509,0.019362,0.18447,-0.57036,0.096604,0.15135,-0.56607
11006,0.98042,-0.14475,-0.13351,0.17273,0.95771,0.23012,0.094551,-0.24867,0.96396,-13.427,-7.6722,8.3984,-0.12119,-0.057725,0.080359,0.98769,-0.77462,-0.36896,0.51364,18.002,29.721,86.533,-520.81,0.047862,0.13963,-0.50756,-0.014783,0.18136,-0.54275,0.021485,0.18118,-0.56249,0.09837,0.14752,-0.5595
11008,0.97963,-0.1472,-0.13657,0.1776,0.95251,0.24737,0.093669,-0.26658,0.95925,-14.46,-7.8492,8.5451,-0.13027,-0.058357,0.082326,0.98633,-0.79055,-0.35415,0.4996,18.969,30.773,84.981,-519.9,0.048803,0.13777,-0.5053,-0.013706,0.18028,-0.53985,0.022494,0.18077,-0.55956,0.099231,0.14603,-0.55724
11016,0.98019,-0.14389,-0.13611,0.16886,0.96626,0.19452,0.10353,-0.21365,0.97141,-11.323,-7.8231,8.3513,-0.1031,-0.060537,0.079002,0.98968,-0.71947,-0.42243,0.55128,16.478,31.873,89.968,-522.67,0.049427,0.14365,-0.51106,-0.013777,0.18357,-0.54734,0.022295,0.18334,-0.56729,0.099399,0.1497,-0.56389
11018,0.9809,-0.14317,-0.13169,0.16481,0.97127,0.17167,0.10333,-0.19009,0.97631,-9.9727,-7.5672,8.304,-0.091261,-0.059287,0.077692,0.99102,-0.68251,-0.44338,0.58103,15.369,31.628,92.631,-525.47,0.048869,0.14665,-0.51504,-0.014465,0.18542,-0.55237,0.021563,0.185,-0.5723,0.098892,0.15158,-0.56804
11019,0.98096,-0.14407,-0.13024,0.16353,0.97449,0.1537,0.10477,-0.17207,0.9795,-8.9181,-7.4833,8.3552,-0.082115,-0.059236,0.077533,0.99184,-0.6439,-0.4645,0.60798,14.653,30.923,94.193,-526.19,0.048508,0.14836,-0.51719,-0.014925,0.18656,-0.55504,0.021123,0.18538,-0.57511,0.098485,0.15279,-0.57021
11021,0.98377,-0.13509,-0.11808,0.14854,0.98235,0.11366,0.10065,-0.12935,0.98648,-6.5724,-6.7816,7.8191,-0.061116,-0.055009,0.071333,0.99406,-0.56144,-0.50534,0.6553,12.499,30.996,98.655,-531.85,0.0472,0.1535,-0.52449,-0.01646,0.18882,-0.56434,0.019674,0.18794,-0.58406,0.097328,0.15594,-0.57741
11023,0.98549,-0.12988,-0.10924,0.13956,0.98646,0.08617,0.096573,-0.10017,0.99027,-4.9731,-6.2717,7.5079,-0.046805,-0.051699,0.06768,0.99527,-0.48163,-0.53199,0.69644,11.154,29.943,101.77,-535.37,0.046113,0.15685,-0.52996,-0.017612,0.19071,-0.57108,0.018544,0.18912,-0.59068,0.096455,0.15864,-0.58254
11026,0.98839,-0.12153,-0.091187,0.12361,0.99218,0.017529,0.088343,-0.028598,0.99568,-1.0086,-5.2319,7.0097,-0.011566,-0.045017,0.061468,0.99703,-0.15009,-0.58416,0.79764,8.8394,28.873,108.03,-543.55,0.044055,0.16362,-0.54182,-0.01973,0.19341,-0.58574,0.01663,0.19112,-0.60488,0.094889,0.16241,-0.59389
11028,0.98945,-0.11937,-0.082103,0.11832,0.99282,-0.017558,0.083609,0.0076582,0.99647,1.0095,-4.7094,6.8791,0.0063208,-0.041538,0.059582,0.99734,0.086698,-0.56975,0.81723,8.3619,28.278,111.19,-547.96,0.043147,0.16689,-0.54814,-0.020531,0.19472,-0.5934,0.015878,0.19195,-0.61221,0.094259,0.16405,-0.59986
11029,0.98968,-0.11974,-0.078702,0.11708,0.99241,-0.037613,0.082609,0.02801,0.99619,2.1623,-4.514,6.8987,0.016451,-0.040438,0.059367,0.99728,0.22324,-0.54875,0.80563,8.452,27.863,112.83,-549.96,0.04272,0.16853,-0.55132,-0.020893,0.19535,-0.59712,0.015555,0.19218,-0.61586,0.093976,0.16471,-0.60282
11031,0.99106,-0.11478,-0.068054,0.10906,0.99061,-0.082505,0.076884,0.074345,0.99426,4.7436,-3.9022,6.6062,0.039331,-0.036344,0.056129,0.99699,0.50699,-0.46849,0.72352,8.8987,27.354,116.7,-556.72,0.041593,0.17245,-0.5604,-0.022022,0.19653,-0.60777,0.014577,0.19296,-0.62605,0.093136,0.16656,-0.61136
11032,0.9913,-0.11467,-0.064552,0.10768,0.98883,-0.10303,0.075646,0.095182,0.99258,5.926,-3.7011,6.5985,0.049722,-0.03517,0.055778,0.99658,0.60207,-0.42586,0.67539,9.4744,27.256,118.17,-558.67,0.041157,0.17393,-0.56327,-0.022382,0.19676,-0.61114,0.014246,0.19312,-0.62932,0.092833,0.16683,-0.61418
11034,0.99214,-0.11016,-0.05931,0.10236,0.9873,-0.12146,0.071937,0.11443,0.99082,6.9885,-3.4002,6.3359,0.059192,-0.032934,0.05333,0.99628,0.68659,-0.38201,0.61859,9.8914,26.476,120.06,-563.3,0.040384,0.17571,-0.56918,-0.023117,0.19742,-0.61769,0.013517,0.19335,-0.63564,0.092249,0.16816,-0.61937
11036,0.99288,-0.10783,-0.050582,0.097905,0.98076,-0.1689,0.067821,0.16275,0.98433,9.7366,-2.8994,6.198,0.083351,-0.029757,0.051705,0.99473,0.81318,-0.29031,0.50444,11.766,25.392,123.39,-569.4,0.038976,0.17878,-0.57788,-0.024523,0.19777,-0.62762,0.012305,0.19306,-0.6452,0.091187,0.16899,-0.62761
11038,0.99306,-0.10854,-0.045298,0.097565,0.97533,-0.19804,0.065674,0.19224,0.97915,11.434,-2.5962,6.2374,0.098217,-0.027927,0.051866,0.99342,0.85758,-0.24384,0.45287,13.153,24.172,125.55,-573.48,0.03799,0.18057,-0.58381,-0.025404,0.19814,-0.63417,0.011501,0.19268,-0.65161,0.090327,0.16956,-0.63299
11039,0.99322,-0.10834,-0.042246,0.096854,0.97177,-0.21514,0.064363,0.20959,0.97567,12.435,-2.4213,6.2255,0.10698,-0.026852,0.051684,0.99255,0.87827,-0.22045,0.42431,13.993,23.801,126.65,-575.43,0.037519,0.18151,-0.58666,-0.025828,0.19809,-0.63738,0.011089,0.19243,-0.65474,0.089966,0.16963,-0.63569
11041,0.99408,-0.10276,-0.035298,0.091183,0.96567,-0.24323,0.059079,0.23857,0.96933,14.086,-2.0228,5.9016,0.12153,-0.023806,0.04892,0.9911,0.91272,-0.17879,0.36739,15.304,22.566,128.91,-582.28,0.036117,0.18344,-0.5952,-0.027152,0.19818,-0.64661,0.0099501,0.19208,-0.66357,0.088973,0.17059,-0.64319
11043,0.99438,-0.10174,-0.029251,0.089901,0.95748,-0.27414,0.055898,0.26997,0.96125,15.918,-1.6762,5.8419,0.13753,-0.021522,0.048439,0.98908,0.93309,-0.14602,0.32865,16.951,21.846,130.88,-585.74,0.035222,0.18504,-0.6003,-0.027898,0.19792,-0.65231,0.0092014,0.19146,-0.66907,0.088244,0.17065,-0.64802
